9,10,1
9,10,1
9,10,1
9,25,1
9,25,1
9,25,1
9,25,1
9,25,1
9,25,1
9,25,1
9,25,1
9,10,1
9,20,1
9,21,1
9,25,1
9,25,1
9,25,1
9,25,1
9,25,1
9,25,1
9,25,1
9,25,1
11,34,1
11,34,1
11,34,1
11,34,1
11,34,1
11,34,1
11,34,1
11,34,1
11,31,1
11,20,1
11,29,1
9,29,1
9,29,1
9,29,1
10,19,1
11,23,1
11,24,1
26,25,1
28,27,1
29,28,1
30,29,1
31,30,1
32,10,1
32,25,1
3,4,0
3,12,0
5,6,0
4,12,0
4,6,0
4,7,0
3,6,0
10,4,0
10,12,0
5,4,0
5,5,0
10,25,1
10,10,1
15,36,0
-1,35,0
-1,35,0
-1,36,0
2,10,0
3,10,0
4,10,0
2,11,0
3,11,0
4,11,0
2,12,0
3,12,0
4,12,0
